resultados/Constraint__5776.nsp,2.gen_1;3;307;263;0;0,0.068033
resultados/Constraint__6242.nsp,2.gen_1;3;361;335;0;0,0.057918
resultados/Constraint__409.nsp,2.gen_1;3;306;293;0;0,0.058137
resultados/Constraint__6219.nsp,2.gen_1;3;297;297;0;0,0.076566
resultados/Constraint__5808.nsp,2.gen_1;3;297;297;0;0,0.087839
resultados/Constraint__2979.nsp,2.gen_1;3;290;283;0;0,0.059833
resultados/Constraint__1301.nsp,2.gen_1;3;294;294;0;0,0.076479
resultados/Constraint__5777.nsp,2.gen_1;3;302;251;0;0,0.061493
resultados/Constraint__3781.nsp,2.gen_1;3;268;244;0;0,0.063045
resultados/Constraint__211.nsp,2.gen_1;3;315;279;0;0,0.072403
resultados/Constraint__5664.nsp,2.gen_1;3;288;258;0;0,0.062954
resultados/Constraint__4598.nsp,2.gen_1;3;280;250;0;0,0.074047
resultados/Constraint__5352.nsp,2.gen_1;3;299;299;0;0,0.092686
resultados/Constraint__7200.nsp,2.gen_1;3;287;266;0;0,0.059360
resultados/Constraint__759.nsp,2.gen_1;3;256;233;0;0,0.070645
resultados/Constraint__6477.nsp,2.gen_1;3;295;295;0;0,0.078666
resultados/Constraint__4822.nsp,2.gen_1;3;382;352;0;0,0.060751
resultados/Constraint__6886.nsp,2.gen_1;3;258;230;0;0,0.063712
resultados/Constraint__6950.nsp,2.gen_1;3;265;265;0;0,0.076021
resultados/Constraint__4975.nsp,2.gen_1;3;333;305;0;0,0.060326
resultados/Constraint__19.nsp,2.gen_1;3;328;304;0;0,0.060764
resultados/Constraint__6258.nsp,2.gen_1;3;264;248;0;0,0.058992
resultados/Constraint__6350.nsp,2.gen_1;3;290;279;0;0,0.058613
resultados/Constraint__7018.nsp,2.gen_1;3;325;292;0;0,0.062106
resultados/Constraint__1660.nsp,2.gen_1;3;272;272;0;0,0.077678
resultados/Constraint__4611.nsp,2.gen_1;3;297;285;0;0,0.060402
resultados/Constraint__4403.nsp,2.gen_1;3;310;292;0;0,0.080600
resultados/Constraint__6742.nsp,2.gen_1;3;290;258;0;0,0.059790
resultados/Constraint__3164.nsp,2.gen_1;3;255;238;0;0,0.062528
resultados/Constraint__3466.nsp,2.gen_1;3;322;263;0;0,0.061060
resultados/Constraint__4931.nsp,2.gen_1;3;334;334;0;0,0.074705
resultados/Constraint__6052.nsp,2.gen_1;3;241;213;0;0,0.067787
resultados/Constraint__3189.nsp,2.gen_1;3;365;365;0;0,0.086755
resultados/Constraint__7107.nsp,2.gen_1;3;347;329;0;0,0.061489
resultados/Constraint__1671.nsp,2.gen_1;3;285;246;0;0,0.062078
resultados/Constraint__1870.nsp,2.gen_1;3;292;230;0;0,0.059568
resultados/Constraint__1875.nsp,2.gen_1;3;307;252;0;0,0.061592
resultados/Constraint__6315.nsp,2.gen_1;3;279;279;0;0,0.078001
resultados/Constraint__2839.nsp,2.gen_1;3;287;287;0;0,0.122028
resultados/Constraint__416.nsp,2.gen_1;3;275;272;0;0,0.083904
resultados/Constraint__5926.nsp,2.gen_1;3;303;303;0;0,0.086644
resultados/Constraint__2273.nsp,2.gen_1;3;332;301;0;0,0.061534
resultados/Constraint__179.nsp,2.gen_1;3;336;315;0;0,0.059653
resultados/Constraint__3564.nsp,2.gen_1;3;298;298;0;0,0.085126
resultados/Constraint__3449.nsp,2.gen_1;3;305;305;0;0,0.076794
resultados/Constraint__1986.nsp,2.gen_1;3;245;225;0;0,0.065894
resultados/Constraint__1833.nsp,2.gen_1;3;266;220;0;0,0.061739
resultados/Constraint__2005.nsp,2.gen_1;3;265;265;0;0,0.117370
resultados/Constraint__5915.nsp,2.gen_1;3;297;257;0;0,0.059295
resultados/Constraint__62.nsp,2.gen_1;3;329;309;0;0,0.066732
resultados/Constraint__2034.nsp,2.gen_1;3;302;263;0;0,0.062198
resultados/Constraint__4078.nsp,2.gen_1;3;285;244;0;0,0.062048
resultados/Constraint__5556.nsp,2.gen_1;3;293;276;0;0,0.060372
resultados/Constraint__5163.nsp,2.gen_1;3;283;269;0;0,0.059981
resultados/Constraint__7109.nsp,2.gen_1;3;349;317;0;0,0.064276
resultados/Constraint__1104.nsp,2.gen_1;3;257;222;0;0,0.063023
resultados/Constraint__1188.nsp,2.gen_1;3;259;259;0;0,0.082651
resultados/Constraint__2668.nsp,2.gen_1;3;326;312;0;0,0.062761
resultados/Constraint__5014.nsp,2.gen_1;3;356;356;0;0,0.088504
